pruid,prname,prnameFR,date,numconf,numdeaths,numtested,numrecover,numtoday,numdeathstoday,numtestedtoday,numrecoveredtoday,percentactive
35,Ontario,Ontario,31-01-2020,3,0,,,3,0,,,100
59,British Columbia,Colombie-Britannique,31-01-2020,1,0,,,1,0,,,100
1,Canada,Canada,31-01-2020,4,0,,,4,0,,,100
35,Ontario,Ontario,08-02-2020,3,0,,,0,0,,,100
59,British Columbia,Colombie-Britannique,08-02-2020,4,0,,,3,0,,,100
1,Canada,Canada,08-02-2020,7,0,,,3,0,,,100
35,Ontario,Ontario,16-02-2020,3,0,,,0,0,,,100
59,British Columbia,Colombie-Britannique,16-02-2020,5,0,,,1,0,,,100
1,Canada,Canada,16-02-2020,8,0,,,1,0,,,100
35,Ontario,Ontario,21-02-2020,3,0,,,0,0,,,100
59,British Columbia,Colombie-Britannique,21-02-2020,6,0,,,1,0,,,100
1,Canada,Canada,21-02-2020,9,0,,,1,0,,,100
35,Ontario,Ontario,24-02-2020,4,0,,,1,0,,,100
59,British Columbia,Colombie-Britannique,24-02-2020,6,0,,,0,0,,,100
1,Canada,Canada,24-02-2020,10,0,,,1,0,,,100
35,Ontario,Ontario,25-02-2020,4,0,,,0,0,,,100
59,British Columbia,Colombie-Britannique,25-02-2020,7,0,,,1,0,,,100
1,Canada,Canada,25-02-2020,11,0,,,1,0,,,100
35,Ontario,Ontario,26-02-2020,5,0,,,1,0,,,100
59,British Columbia,Colombie-Britannique,26-02-2020,7,0,,,0,0,,,100
1,Canada,Canada,26-02-2020,12,0,,,1,0,,,100
35,Ontario,Ontario,27-02-2020,6,0,,,1,0,,,100
59,British Columbia,Colombie-Britannique,27-02-2020,7,0,,,0,0,,,100
1,Canada,Canada,27-02-2020,13,0,,,1,0,,,100
35,Ontario,Ontario,29-02-2020,8,0,,,2,0,,,100
59,British Columbia,Colombie-Britannique,29-02-2020,7,0,,,0,0,,,100
1,Canada,Canada,29-02-2020,15,0,,,2,0,,,100
35,Ontario,Ontario,01-03-2020,15,0,,,7,0,,,100
59,British Columbia,Colombie-Britannique,01-03-2020,8,0,,,1,0,,,100
24,Quebec,Québec,01-03-2020,1,0,,,1,0,,,100
1,Canada,Canada,01-03-2020,24,0,,,9,0,,,100
35,Ontario,Ontario,03-03-2020,20,0,,,5,0,,,100
59,British Columbia,Colombie-Britannique,03-03-2020,12,0,,,4,0,,,100
24,Quebec,Québec,03-03-2020,1,0,,,0,0,,,100
1,Canada,Canada,03-03-2020,33,0,,,9,0,,,100
35,Ontario,Ontario,05-03-2020,22,0,,,2,0,,,100
59,British Columbia,Colombie-Britannique,05-03-2020,21,0,,,9,0,,,100
24,Quebec,Québec,05-03-2020,2,0,,,1,0,,,100
1,Canada,Canada,05-03-2020,45,0,,,12,0,,,100
35,Ontario,Ontario,06-03-2020,28,0,,,6,0,,,100
59,British Columbia,Colombie-Britannique,06-03-2020,21,0,,,0,0,,,100
24,Quebec,Québec,06-03-2020,2,0,,,0,0,,,100
1,Canada,Canada,06-03-2020,51,0,,,6,0,,,100
35,Ontario,Ontario,07-03-2020,28,0,,,0,0,,,100
59,British Columbia,Colombie-Britannique,07-03-2020,27,0,,,6,0,,,100
24,Quebec,Québec,07-03-2020,2,0,,,0,0,,,100
1,Canada,Canada,07-03-2020,57,0,,,6,0,,,100
35,Ontario,Ontario,08-03-2020,31,0,,,3,0,,,100
59,British Columbia,Colombie-Britannique,08-03-2020,27,1,,,0,1,,,96.3
24,Quebec,Québec,08-03-2020,3,0,,,1,0,,,100
48,Alberta,Alberta,08-03-2020,1,0,,,1,0,,,100
1,Canada,Canada,08-03-2020,62,1,,,5,1,,,98.39
35,Ontario,Ontario,09-03-2020,34,0,,,3,0,,,100
59,British Columbia,Colombie-Britannique,09-03-2020,32,1,,,5,0,,,96.88
24,Quebec,Québec,09-03-2020,4,0,,,1,0,,,100
48,Alberta,Alberta,09-03-2020,7,0,,,6,0,,,100
1,Canada,Canada,09-03-2020,77,1,,,15,0,,,98.7
59,British Columbia,Colombie-Britannique,11-03-2020,39,1,4373,,0,0,4373,,97.44
48,Alberta,Alberta,11-03-2020,14,0,1969,,0,0,1969,,100
47,Saskatchewan,Saskatchewan,11-03-2020,0,0,204,,0,0,204,,
46,Manitoba,Manitoba,11-03-2020,0,0,352,,0,0,352,,
